Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
53,50,264.8679245283019,5412,66,0,0.9512919999998011,2.4629164
54,-18,259.6296296296296,5448,36,0,0.9509679999997998,1.1377321
55,840,270.1818181818182,5639,191,0,0.9492489999997927,4.1195087
56,74,266.67857142857144,5713,74,0,0.94858299999979,2.8472543
57,-26,261.5438596491228,5759,46,0,0.9481689999997883,0.474857
58,660,268.41379310344826,5925,166,0,0.9466749999997822,1.9592097
59,-55,262.93220338983053,5971,46,0,0.9462609999997805,1.3678522
60,130,260.71666666666664,6031,60,0,0.9457209999997783,4.955862
61,377,262.62295081967216,6137,106,0,0.9447669999997744,3.5004563
62,141,260.66129032258067,6217,80,0,0.9440469999997715,0.2930393
63,644,266.74603174603175,6414,197,0,0.9422739999997642,4.004111
64,390,268.671875,6542,128,0,0.9411219999997595,8.173168
65,214,267.83076923076925,6661,119,0,0.9400509999997552,1.3951628
66,514,271.56060606060606,6853,192,0,0.9383229999997481,1.7181169
67,369,273.0149253731343,7041,188,0,0.9366309999997412,2.0824666
68,50,269.7352941176471,7107,66,0,0.9360369999997388,2.3271282
69,264,269.6521739130435,7179,72,0,0.9353889999997361,6.673689
70,431,271.95714285714286,7309,130,0,0.9342189999997313,1.4885005
71,299,272.3380281690141,7388,79,0,0.9335079999997284,0.32442847
72,176,271.0,7478,90,0,0.9326979999997251,7.256482
73,-22,266.986301369863,7519,41,0,0.9323289999997236,6.0714173
74,421,269.06756756756755,7702,183,0,0.9306819999997169,1.1714845
75,430,271.2133333333333,7901,199,0,0.9288909999997096,0.2707192
76,449,273.55263157894734,8061,160,0,0.9274509999997037,0.4438357
77,13,270.16883116883116,8119,58,0,0.9269289999997016,2.6266286
78,297,270.5128205128205,8200,81,0,0.9261999999996986,3.4193804
79,200,269.62025316455697,8266,66,0,0.9256059999996962,3.4275587
80,257,269.4625,8389,123,0,0.9244989999996917,8.212893
81,642,274.0617283950617,8548,159,0,0.9230679999996858,5.795452
82,37,271.1707317073171,8598,50,0,0.922617999999684,4.4444666
83,187,270.1566265060241,8655,57,0,0.9221049999996819,3.4482272
84,0,266.9404761904762,8707,52,0,0.92163699999968,2.408405
85,-59,263.1058823529412,8805,98,0,0.9207549999996764,1.7569542
86,153,261.8255813953488,8879,74,0,0.9200889999996736,9.27858
87,818,268.2183908045977,9081,202,0,0.9182709999996662,6.6834335
88,565,271.59090909090907,9297,216,0,0.9163269999996583,7.977217
89,503,274.19101123595505,9508,211,0,0.9144279999996505,0.3881868
90,75,271.97777777777776,9559,51,0,0.9139689999996486,5.9175453
91,666,276.3076923076923,9688,129,0,0.9128079999996439,4.6319256
92,-11,273.1847826086956,9732,44,0,0.9124119999996423,3.044102
93,-11,270.1290322580645,9788,56,0,0.9119079999996402,4.6257358
94,51,267.79787234042556,9830,42,0,0.9115299999996387,6.490485
95,728,272.6421052631579,10054,219,5,0.9095139999996305,7.668804
96,483,274.8333333333333,10244,179,11,0.9078039999996235,6.3970904
