Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate
59,820,119.40677966101696,8483,132,88,0.5988945562610564
60,350,123.25,8655,107,65,0.5939304724846237
61,625,131.47540983606558,8830,103,72,0.5890157821670499
62,890,143.70967741935485,9008,99,79,0.584149993835207
63,945,156.42857142857142,9201,114,79,0.5793326209062075
64,650,164.140625,9357,85,71,0.5745631816387438
65,690,172.23076923076923,9523,90,76,0.5698411990849145
66,880,182.95454545454547,9714,107,84,0.5651662010425292
67,1225,198.50746268656715,9913,97,102,0.5605377200078883
68,670,205.44117647058823,10104,117,74,0.5559552931290306
69,530,210.14492753623188,10286,104,78,0.5514184621594499
70,535,214.78571428571428,10457,109,62,0.5469267734122686
71,1545,233.5211267605634,10769,167,145,0.5424797777148687
72,1290,248.19444444444446,11000,123,108,0.5380770303639745
73,885,256.9178082191781,11188,96,92,0.5337180910811822
74,710,263.0405405405405,11354,92,74,0.529402523968931
75,1655,281.6,11660,154,152,0.5251298974669132
76,920,290.0,11882,124,98,0.5208997843089184
77,1510,305.84415584415586,12122,115,125,0.5167117614801052
78,1850,325.64102564102564,12435,164,149,0.5125654101747011
79,1020,334.43037974683546,12621,90,96,0.5084603157541202
80,1870,353.625,12921,156,144,0.5043960677054994
81,1260,364.81481481481484,13141,119,101,0.500372259600647
82,740,369.390243902439,13309,86,82,0.49638848905539934
83,1870,387.4698795180723,13621,146,166,0.492444357689382
84,1625,402.20238095238096,13871,124,126,0.4885394710861718
85,2405,425.7647058823529,14220,173,176,0.48467343875385405
86,1675,440.2906976744186,14461,119,122,0.4808458740859739
87,2130,459.71264367816093,14830,191,178,0.47705639432287517
88,1880,475.85227272727275,15145,136,179,0.47330462051342326
89,1265,484.7191011235955,15441,145,151,0.46959017747711096
90,1170,492.3333333333333,15677,115,121,0.4659126937665392
91,835,496.0989010989011,15837,78,82,0.46227180163027237
92,2210,514.7282608695652,16169,142,190,0.45866713697606276
93,1430,524.5698924731183,16423,121,133,0.455098339334441
94,1050,530.1595744680851,16609,88,98,0.45156505182266904
95,1025,535.3684210526316,16839,116,114,0.4480669211090511
96,1375,544.1145833333334,17150,144,167,0.4446035973776009
97,1000,548.8144329896908,17354,101,103,0.441174734293059
98,1280,556.2755102040817,17565,91,120,0.4377799889662596
99,2290,573.7878787878788,17876,128,183,0.43441902191984116
100,1945,587.5,18206,147,183,0.43109149705429817
101,2060,602.0792079207921,18514,126,182,0.427797081614371
102,1345,609.3627450980392,18744,113,117,0.42453544615577044
103,1245,615.5339805825242,18954,88,122,0.42130626451223263
104,865,617.9326923076923,19116,74,88,0.4181092137629021
105,1960,630.7142857142857,19428,136,176,0.4149439742000398
106,1570,639.5754716981132,19657,92,137,0.4118102292970517
107,1965,651.9626168224299,19957,110,190,0.40870766567683603
108,2225,666.5277777777778,20265,115,193,0.4056359730804452
109,2425,682.6605504587156,20611,149,197,0.4025948443360601
110,1675,691.6818181818181,20921,141,169,0.3995839753282716
111,2250,705.7207207207207,21239,128,190,0.39660306496767017
112,2320,720.1339285714286,21565,132,194,0.39365181516073555
