Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
42,-249,26.11904761904762,3892,31,0,0.9649719999998569,2.8039885
43,-74,23.790697674418606,3962,70,0,0.9643419999998544,2.3806548
44,300,30.068181818181817,4160,198,0,0.9625599999998471,0.94949067
45,452,39.44444444444444,4352,192,0,0.96083199999984,1.5618094
46,-220,33.80434782608695,4393,41,0,0.9604629999998385,2.8864913
47,-171,29.4468085106383,4456,63,0,0.9598959999998362,1.6027913
48,-208,24.5,4501,45,0,0.9594909999998346,1.9323082
49,-163,20.6734693877551,4566,65,0,0.9589059999998322,1.6063708
50,-211,16.04,4620,54,0,0.9584199999998302,0.36226112
51,474,25.019607843137255,4829,209,0,0.9565389999998225,2.378704
52,136,27.153846153846153,4923,94,0,0.955692999999819,0.1284122
53,-91,24.92452830188679,4998,75,0,0.9550179999998163,0.9286089
54,-212,20.537037037037038,5041,43,0,0.9546309999998147,1.7270497
55,-224,16.09090909090909,5080,39,0,0.9542799999998133,1.2630194
56,-194,12.339285714285714,5126,46,0,0.9538659999998116,0.40701285
57,-241,7.894736842105263,5181,55,0,0.9533709999998096,1.2953638
58,296,12.862068965517242,5381,200,0,0.9515709999998022,1.3831376
59,-192,9.389830508474576,5427,46,0,0.9511569999998005,1.3181531
60,124,11.3,5528,101,0,0.9502479999997968,0.6103122
61,-99,9.491803278688524,5589,61,0,0.9496989999997946,1.1618234
62,-248,5.338709677419355,5622,33,0,0.9494019999997934,0.4779601
63,483,12.920634920634921,5825,203,0,0.9475749999997859,2.9872112
64,-220,9.28125,5866,41,0,0.9472059999997844,0.03953824
65,-61,8.2,5926,60,0,0.9466659999997822,1.0074701
66,55,8.909090909090908,6155,229,0,0.9446049999997738,0.43224767
67,-23,8.432835820895523,6247,92,0,0.9437769999997704,2.373372
68,-126,6.455882352941177,6321,74,0,0.9431109999997677,1.0295855
69,102,7.840579710144928,6424,103,0,0.9421839999997639,2.0721202
70,-101,6.285714285714286,6504,80,0,0.9414639999997609,1.7223725
71,127,7.985915492957746,6606,102,0,0.9405459999997572,0.9084731
72,564,15.708333333333334,6832,226,0,0.9385119999997489,1.1979567
73,-21,15.205479452054794,6933,101,0,0.9376029999997452,0.99165577
74,-187,12.472972972972974,6985,52,0,0.9371349999997433,2.4605296
75,-202,9.613333333333333,7031,46,0,0.9367209999997416,0.22936003
76,-176,7.171052631578948,7076,45,0,0.9363159999997399,1.009962
77,-340,2.6623376623376624,7123,47,0,0.9358929999997382,0.91142565
78,-209,-0.05128205128205128,7168,45,0,0.9354879999997365,0.31417623
79,-16,-0.25316455696202533,7282,114,0,0.9344619999997323,1.9697376
80,-90,-1.375,7373,91,0,0.933642999999729,0.2249091
81,153,0.5308641975308642,7534,161,0,0.9321939999997231,3.1960888
82,-173,-1.5853658536585367,7587,53,0,0.9317169999997211,1.1806208
83,-110,-2.891566265060241,7659,72,0,0.9310689999997185,3.1411273
84,-237,-5.678571428571429,7703,44,0,0.9306729999997169,1.48829
85,-153,-7.411764705882353,7746,43,0,0.9302859999997153,0.27150854
86,165,-5.406976744186046,7904,158,0,0.9288639999997095,1.5016608
87,31,-4.988505747126437,7999,95,0,0.928008999999706,2.0907478
88,16,-4.75,8072,73,0,0.9273519999997033,1.0816021
89,1,-4.685393258426966,8250,178,0,0.9257499999996968,0.9145496
90,-258,-7.5,8304,54,0,0.9252639999996948,2.3392835
91,-220,-9.835164835164836,8348,44,0,0.9248679999996932,0.21681672
92,557,-3.6739130434782608,8546,198,0,0.9230859999996859,0.010023069
93,255,-0.8924731182795699,8710,164,0,0.9216099999996799,1.0881544
