Episode,Episode reward,Running reward,Total actions,Exploration actions,Exploitation actions,Greed rate,Loss
45,251,130.04444444444445,5040,137,0,0.9501039999999641,0.06964563
46,142,130.30434782608697,5190,150,0,0.948618999999963,0.49186474
47,-41,126.65957446808511,5241,51,0,0.9481140999999627,0.77128446
48,-48,123.02083333333333,5289,48,0,0.9476388999999623,1.7281888
49,-60,119.28571428571429,5325,36,0,0.9472824999999621,0.9551692
50,-36,116.18,5379,54,0,0.9467478999999617,0.74145186
51,227,118.3529411764706,5582,203,0,0.9447381999999602,1.1687465
52,-17,115.75,5644,62,0,0.9441243999999598,1.355133
53,-49,112.64150943396227,5684,40,0,0.9437283999999595,0.5264849
54,-58,109.48148148148148,5728,44,0,0.9432927999999592,1.0598851
55,50,108.4,5842,114,0,0.9421641999999584,0.4495411
56,353,112.76785714285714,6082,240,0,0.9397881999999567,0.75153714
57,27,111.26315789473684,6148,66,0,0.9391347999999562,0.661587
58,243,113.53448275862068,6311,163,0,0.937521099999955,1.1026316
59,67,112.7457627118644,6373,62,0,0.9369072999999546,0.72557116
60,134,113.1,6465,92,0,0.9359964999999539,0.80819315
61,13,111.45901639344262,6524,59,0,0.9354123999999535,1.0182174
62,110,111.43548387096774,6625,101,0,0.9344124999999528,0.827686
63,297,114.38095238095238,6771,146,0,0.9329670999999518,0.7184931
64,-39,111.984375,6815,44,0,0.9325314999999514,0.8506576
65,-4,110.2,6896,81,0,0.9317295999999509,0.77955174
66,473,115.6969696969697,7117,221,0,0.9295416999999493,0.7367567
67,-15,113.74626865671642,7169,52,0,0.9290268999999489,1.0826086
68,-19,111.79411764705883,7225,56,0,0.9284724999999485,1.6400237
69,387,115.78260869565217,7445,220,0,0.926294499999947,1.0217237
70,232,117.44285714285714,7637,192,0,0.9243936999999456,0.46603692
71,12,115.95774647887323,7696,59,0,0.9238095999999452,0.65742505
72,190,116.98611111111111,7809,113,0,0.9226908999999444,0.5542474
73,153,117.47945205479452,7962,153,0,0.9211761999999433,0.7828894
74,-48,115.24324324324324,8005,43,0,0.920750499999943,0.757822
75,67,114.6,8150,145,0,0.9193149999999419,0.09835329
76,162,115.22368421052632,8253,103,0,0.9182952999999412,0.5591345
77,375,118.59740259740259,8488,235,0,0.9159687999999395,0.13960919
78,373,121.85897435897436,8700,212,0,0.913869999999938,0.30859798
79,-43,119.77215189873418,8750,50,0,0.9133749999999377,0.3374416
80,167,120.3625,8907,157,0,0.9118206999999365,0.4570992
81,466,124.62962962962963,9114,207,0,0.9097713999999351,0.07394441
82,149,124.92682926829268,9236,122,0,0.9085635999999342,1.1042061
83,67,124.2289156626506,9322,86,0,0.9077121999999336,0.69887877
84,-14,122.58333333333333,9380,58,0,0.9071379999999332,0.4235148
85,280,124.43529411764706,9496,116,0,0.9059895999999323,0.29668078
86,259,126.0,9658,162,0,0.9043857999999312,0.36811647
87,60,125.24137931034483,9732,74,0,0.9036531999999307,0.5207937
88,151,125.5340909090909,9817,85,0,0.90281169999993,0.07735282
89,175,126.08988764044943,9916,99,0,0.9018315999999293,0.54698753
90,-12,124.55555555555556,9969,53,0,0.901306899999929,0.35237435
91,236,125.78021978021978,10096,117,10,0.9000495999999281,1.0678675
92,473,129.55434782608697,10291,185,10,0.8981190999999267,1.0693976
93,529,133.8494623655914,10531,209,31,0.895743099999925,1.0133637
94,460,137.31914893617022,10759,192,36,0.8934858999999233,0.8254818
95,-1,135.86315789473684,10838,69,10,0.8927037999999228,0.8468483
